资产ID,评分,资产域,原路径,文件名,扩展名,大小_MB,修改时间,是否存在,是否重复,重复组ID,推荐主版本,版本判断依据,建议夸克路径,是否进入OS,敏感等级,是否需要加密,建议动作,排除理由,备注
A0094,C,04_data,/home/richie_thu/_Richie_project/U-PHM/model/FEMTO-STUGA_past/4epoch-modelUGA-datasetFEMTO-ST0-test-true.csv,4epoch-modelUGA-datasetFEMTO-ST0-test-true.csv,csv,0.69,2023-05-18,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0095,C,04_data,/home/richie_thu/_Richie_project/U-PHM/model/FEMTO-STResnetexp_FEMTO_resnet2/65epoch-modelResnet-datasetFEMTO-ST2-test-pred.csv,65epoch-modelResnet-datasetFEMTO-ST2-test-pred.csv,csv,0.69,2023-06-23,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0096,C,04_data,/home/richie_thu/_Richie_project/U-PHM/plot_dir/past/4epoch-dataset7-test_split_forcasting-true2.csv,4epoch-dataset7-test_split_forcasting-true2.csv,csv,0.69,2023-04-28,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0097,C,02_papers,/home/richie_thu/_Richie_project/Deep symbolic net/fault diagnosis/plot_dir/1_name:paper DG&robust ot 3layer !!!paper final!!!.png,1_name:paper DG&robust ot 3layer !!!paper final!!!.png,png,0.10,2023-01-10,是,,,,,博士毕业数据总仓库_202606/02_papers/,否,否,否,可忽略,,
A0098,C,05_personal,/home/richie_thu/_Richie_project/U-PHM/plot_dir/past/12epoch-train_split_data-true.csv,12epoch-train_split_data-true.csv,csv,0.69,2023-04-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0099,C,04_data,/home/richie_thu/_Richie_project/U-PHM/model/FEMTO-STUGA_past/30epoch-modelUGA-datasetFEMTO-ST2-test-true2.csv,30epoch-modelUGA-datasetFEMTO-ST2-test-true2.csv,csv,0.66,2023-05-16,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0100,C,05_personal,/home/richie_thu/_Richie_project/Deep symbolic net/fault diagnosis/plot_dir2/THU/10/channel_22signal9all.png,channel_22signal9all.png,png,0.20,2023-11-15,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0101,C,05_personal,/home/richie_thu/_Richie_project/U-PHM/plot_dir/past/9epoch-train_split_forcasting-pred2.csv,9epoch-train_split_forcasting-pred2.csv,csv,0.71,2023-04-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0102,C,05_personal,/home/richie_thu/_Richie_project/Deep symbolic net/fault diagnosis/save_dir2/_name:~Ottawa A 4.3section prune64/0.133484output.csv,0.133484output.csv,csv,0.23,2023-01-04,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0103,C,05_personal,/home/richie_thu/_Richie_project/U-PHM/plot_dir/past/44epoch-train-faultheatmap.png,44epoch-train-faultheatmap.png,png,0.42,2023-04-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0104,C,05_personal,/home/richie_thu/_Richie_project/Deep symbolic net/fault diagnosis/save_dir2/结果1暂存/_name:~THU10 4.3sectionprune64/0.2373output.csv,0.2373output.csv,csv,0.55,2023-01-04,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0105,C,05_personal,/home/richie_thu/_Richie_project/Deep symbolic net/fault diagnosis/save_dir2/_name:~equation THU15 4.6/0.5625000000feature.csv,0.5625000000feature.csv,csv,0.20,2023-01-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0106,C,05_personal,/home/richie_thu/_Richie_project/Deep symbolic net/unsupervised_neuralsymbolic_regressiontok/bearing_nameFNO_modes50_width512_lr0.001_epoch10_/one_pred15.217666625976562None.png,one_pred15.217666625976562None.png,png,0.15,2023-09-01,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0107,C,04_data,/home/richie_thu/_Richie_project/U-PHM/plot_dir/past/10epoch-dataset9-test_split_data-pred2.csv,10epoch-dataset9-test_split_data-pred2.csv,csv,0.69,2023-04-28,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0108,C,05_personal,/home/richie_thu/_Richie_project/U-PHM/plot_dir/past/27epoch-train_split_data-pred.csv,27epoch-train_split_data-pred.csv,csv,0.69,2023-04-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0109,C,05_personal,/home/richie_thu/_Richie_project/Deep symbolic net/fault diagnosis/save_dir2/结果1暂存/_name:~THU10 4.3sectionprune64/0.0134output.csv,0.0134output.csv,csv,0.11,2023-01-04,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0110,C,05_personal,/home/richie_thu/_Richie_project/U-PHM/plot_dir/past/29epoch-train_split_forcasting-true2.csv,29epoch-train_split_forcasting-true2.csv,csv,0.69,2023-04-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0111,C,05_personal,/home/richie_thu/_Richie_project/U-PHM/新建文件夹/12epoch-train_split_data-pred2.csv,12epoch-train_split_data-pred2.csv,csv,0.70,2023-04-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0112,C,04_data,/home/richie_thu/_Richie_project/U-PHM/plot_dir/past/10epoch-dataset7-test_split_forcasting-pred2.csv,10epoch-dataset7-test_split_forcasting-pred2.csv,csv,0.85,2023-04-28,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0113,C,05_personal,/home/richie_thu/_Richie_project/Deep symbolic net/fault diagnosis/plot_dir2/THU/9/channel_0signal9all.png,channel_0signal9all.png,png,0.20,2023-11-15,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0114,C,04_data,/home/richie_thu/_Richie_project/U-PHM/model/XJTUGFFA/1epoch-datasetXJTU0-test_anomaly-pred.csv,1epoch-datasetXJTU0-test_anomaly-pred.csv,csv,0.22,2023-05-18,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0115,C,05_personal,/home/richie_thu/_Richie_project/U-PHM/plot_dir/past/39epoch-train_split_forcasting-true.csv,39epoch-train_split_forcasting-true.csv,csv,0.69,2023-04-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0116,C,04_data,/home/richie_thu/_Richie_project/U-PHM/model/FEMTO-STUGA_past/100epoch-modelUGA-datasetFEMTO-ST1-test-pred2.csv,100epoch-modelUGA-datasetFEMTO-ST1-test-pred2.csv,csv,0.20,2023-05-16,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0117,C,05_personal,/home/richie_thu/_Richie_project/Deep symbolic net/fault diagnosis/plot_dir2/channel_15signal50all.png,channel_15signal50all.png,png,0.14,2023-11-16,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0118,C,04_data,/home/richie_thu/_Richie_project/U-PHM/plot_dir/past/0epoch-dataset1-test_split_data-true.csv,0epoch-dataset1-test_split_data-true.csv,csv,0.69,2023-05-08,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0119,C,05_personal,/home/richie_thu/_Richie_project/U-PHM/新建文件夹/19epoch-train_split_data-pred.csv,19epoch-train_split_data-pred.csv,csv,0.69,2023-04-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0120,C,05_personal,/home/richie_thu/.local/share/uv/python/cpython-3.11.14-linux-x86_64-gnu/lib/python3.11/idlelib/configdialog.py,configdialog.py,py,0.10,2025-10-13,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0121,C,04_data,/home/richie_thu/_Richie_project/U-PHM/model/XJTUUGATrue_expUGAshowcae0/4epoch-datasetXJTU0-test_rul-pred.csv,4epoch-datasetXJTU0-test_rul-pred.csv,csv,0.46,2023-06-23,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
